"junk","description","title","country","posting-date","location","name"
"BIO  th  Category: td  Female  th  Ethnic: td  Asian  th  Nationality: td  Vietnamese  th  Age: td  23  th  Eyes: td  Brown  th  Hair: td  Black  th  Pubic hair: td  Shaved completely Height: 160 cm (5' 3 ) Weight: 40 kg (88 lbs)  th  Bust-Waist-Hip: td  32-22-30  th  Cup size: td  C  th  Dress size: td  XS  th  Smoker: td  No  th  Drinking: td  No Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits  th  Orientation: td  Heterosexual Service for: Men","Exclusive VIP Model Tiana is a model for certain events. She loves Dinner Date, Long Booking, overnight on the Maldives, Bora Bora, Bahamas, Hawaii, Los Angeles, San Francisco, New York, London, Dubai, Abu Dhabi, Seychelles, Mauritius, Singapore, Paris, Milan, Roma, Oman, Miami, Monaco, Mumbai, Tokyo, Cape Town.The reservations should be discussed in advance. It is a model that they will never forget.Incredibly memorable and harmonious in every respect to Exclusive VIP Model Tiana bring a little attention then we recommend Gucci, Agent Provocateur, Bottega Veneta, Christian Louboutin, Stella McCartney, Valentino, Hermes, Chanel, Fendi, Prada, Burberry, Jimmy Choo, Roberto Cavalli and much more&hellip;These are a few suggestions. Yachts and private jets, first class and business class are always welcome, they will be impressive by their pleasant demeanor.Alana Gold wishes them an incredible experience with Exclusive VIP Model Tiana.She is a very sweet, young girl.open minded Services 69 Position Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Fisting Full Body Sensual Massage Gangbang Lingerie Masturbate Outdoor Sex Rimming (receive) Snowballing Striptease Lapdance Foot Fetish Golden Shower (give) Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Titjob Shower service Whirlpool Handjob DUO Fingering Footjob Quickie Rates Incall 1 hour: 1,500 USD additional hour : 1,000 USD Outcall 1 hour: 1,500 USD additional hour : 1,000 USD Travel Rates & Conditions Travel Destinations Worldwide (including USA) Contact Agency Alanagold Base city: Manhattan NY Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 27 Click for details Vip Mode..., 20 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl VIP MODEL JADE in Dubai","United States","Last modified: 25 Jun 2015","Dubai, United Arab Emirates","Annabelle Apples"
"BIO Category:Female Ethnic:Latin Nationality:British Age:22 Eyes:Brown Hair:Black Hair Length:Long Height: 168 cm (5' 6 ) Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples","DO YOU WISH TO SEE MORE PHOTOS OF THIS MODEL  JUST SEND US A MESSAGE! Services Anal Sex Cum in Mouth Cum on Face French Kissing Girlfriend Experience (GFE) Kissing Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Extraball Cumshot on body (COB) Erotic massage Intimate massage Handjob Additional: DATY Rates Incall 1 hour: 150 USD 3 hours: 300 USD 10 hours: 500 USD 24 hours: 700 USD 2 days: 1,200 USD 3 days: 1,600 USD 4 days: 1,950 USD 5 days: 2,300 USD 6 days: 2,650 USD 7 days: 2,950 USD Outcall 1 hour: 150 USD 3 hours: 300 USD 10 hours: 500 USD 1 days: 700 USD 2 days: 1,200 USD 3 days: 1,600 USD 4 days: 1,950 USD 5 days: 2,300 USD 6 days: 2,650 USD 7 days: 2,950 USD All services are included in this price.   1 day means up to 24 hours    + cab fare 50 Griwna Payment: Down payment travel expenses PLUS $150 DEPOSIT for 1 day bookings, travel expenses PLUS $250 DEPOSIT for 2 day bookings, travel expenses PLUS $300 DEPOSIT for 3 days or more bookings . A deposit of 50% is required if you prefer to purchase the ticket and to send us an e-ticket For reservations in Kiev: For dates in Kiev ODESSA LVOV we have a travel flat rate of $175 within Ukraine. Travel Rates & Conditions Minimum Booking 1 hours Travel Destinations Europe only Contact Agency Devushki1 Base city: Donezk Available in: Kiev, Odessa, Lviv Phone: Other phone instructions:SMS and text only E-mail: Web: www.devushkione.com nastik.html Private message: Working time I am available 24 7 See all escorts from Devushki1 view type Click for details Vanessa, 24 Click for details Darya, 27 Click for details Vika, 23 Click for details Carolina, 28 Click for details Luisa, 29 Click for details Jana, 20 Click for details Elvira, 19 Click for details Diana, 19 Click for details Elen, 31 Click for details Katya, 22 Click for details Dana, 26 Click for details Alina, 24 Click for details Anya, 22 Click for details Sonya, 23 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Janina in Dubai","United States","Last modified: 10 Mar 2016","Tournai, Belgium","Mia"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Greek Age:28 Eyes:Green Hair:Blond Hair Length:Long Height: 177 cm (5' 10 ) Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples 2+","Hi Im Kirby I like serious men that are very distinguished. Im not into cheap thrills! Words hold no weight with me only actions. Dont go and get me something. Let me go get it my self. Travel Rates & Conditions Travel Destinations Worldwide (including USA) Contact Base city: 27406 Greensboro NC Available in: Charlotte NC, Virginia Beach VA  th  Phone: td  +13056995836 Apps Available: WhatsApp   Phone instructions: SMS and Call E-mail:  th  Web: td   www.kirby.escortbook.com Private message: Working time I am available 24 7 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Rachel in New York City NY","United States","Last modified: 04 Jun 2016","Philadelphia PA","Vip Model Tiana"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Italian Age:25 Eyes:Green Hair:Blond Hair Length:Medium Tattoo:Yes Height: 174 cm (5' 9 ) Smoker:No Drinking:Occasionally Languages: English Italian Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples","justina ;; A brand new sexy erotic and sensual body with the face of an angel and body of goddess, come and have the time of your life with me, real sensual live one - on -one action,i love kissing, Rimming,Cuddling,Licking, Deep throat, Anal sexy and fun body Massage, body shots, oral and golden showers ,Best B J OR 69 ONE ON ONE wild kinky and naughty sexy with no limits! l'm young lady and i&rsquo;m ready to make you happy .come and enjoy the best of everything&rsquo;s you want . i&rsquo;m also very in to sucking cock,there is nothing better than the feeling of a hard cock in my mouth also &lsquo;&rsquo;there is nothing hotter than being rammed from behind as doggy-style by a hot man. That makes me come like crazy,but i also enjoy the touch and taste of a man in my lovely pussy. couples and doubles are highly welcome or overnight e. t.c . private and travel 24 7 always at my up market apartment very clean and discreet venue safe secure .satisfaction guaranteed. tourist friendly everything&rsquo;s goes !!! PLS YOU CAN VISIT ME ON;; escortsSA.com Rates: FULL RATE    one hour =incall [ 1,200 R] OR 2 hours =incall [2,200 R] OR overnight= incall [5,000 R] OR one hour =outcall [ 2,500 R] OR 2 hours =outcall [ 3,300R] OR overnight =outcall [5,000 R ] Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Fisting Full Body Sensual Massage Gangbang Kamasutra Lesbian Sex Games Lingerie Masturbate Blowjob without Condom Swallow Outdoor Sex Pornstar Experience (PSE) Private Photos Prostate Massage Rimming (give) Rimming (receive) Snowballing Striptease Lapdance Tantric BDSM Bondage Clinic Sex Fetish Foot Fetish Golden Shower (give) Golden Shower (recieve) Leather Latex PVC Mistress (hard) Mistress (soft) Role Play and Fantasy Spanking (give) Spanking (receive) Strap on Submissive Slave (hard) Submissive Slave (soft) Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Foam massage Titjob Anal massage (give) Anal massage (receive) Shower service Whirlpool Intimate shaving Scat (give) Scat (receive) Squirting Swingersclub Sauna Handjob DUO Fingering Trampling Footjob Private Video Oral (receive) Travel Rates & Conditions Travel Destinations Europe only Contact Base city: 8005 Cape Town  th  Phone: td  +27763101766 Apps Available: Phone instructions: SMS and Call E-mail: Private message: Working time I am available 24 7 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Tiana in Manhattan NY","United Kingdom","Last modified: 14 Jun 2016","Philadelphia PA, United States","Vip Model Valentina"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Turkish Age:25 Eyes:Brown Hair:Blond Hair Length:Medium Pubic hair:Shaved completely Tattoo:No Piercing:No Height: 165 cm (5' 5 ) Weight: 50 kg (110 lbs) Bust-Waist-Hip:34-24-34 Cup size:D Breast:Natural Shoe size:35 Dress size:S Smoker:No Drinking:No Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men Favorite Drink:wine Favorite Flower:rose Favorite Perfume:lancome Keywords : Petite All natural","Exclusive VIP Model Kate is a model for certain events. She loves Dinner Date, Long Booking, overnight on the Maldives, Bora Bora, Bahamas, Hawaii, Los Angeles, San Francisco, New York, London, Dubai, Abu Dhabi, Seychelles, Mauritius, Singapore, Paris, Milan, Roma, Oman, Miami, Monaco, Mumbai, Tokyo, Cape Town.The reservations should be discussed in advance.It is a model that they will never forget. Incredibly memorable and harmonious in every respect to Exclusive VIP Model Kate bring a little attention then we recommend Gucci, Agent Provocateur, Bottega Veneta, Christian Louboutin, Stella McCartney, Valentino, Hermes, Chanel, Fendi, Prada, Burberry, Jimmy Choo, Roberto Cavalli and much more&hellip;These are a few suggestions. Yachts and private jets, first class and business class are always welcome, they will be impressive by their pleasant demeanor. Alana Gold wishes them an incredible experience with Exclusive VIP Model Kate.open mind Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Full Body Sensual Massage Lesbian Sex Games Lingerie Masturbate Rimming (receive) Striptease Lapdance Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Titjob Handjob DUO Rates Incall 1 hour: 600 EUR (~674 USD) Outcall 1 hour: 600 EUR (~674 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Agency Alanagold Base city: Milan Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 22 Click for details Vip Mode..., 27 Click for details Vip Mode..., 20 Reviews Comments Reviews Add a review Latest by : rick88 (13 Jun 2016) Currently : 1 Reviews Review :Che dire una donna formidabile,la sua bellezza non si discute  ancora pi bella dal vivo. Incontrata pi di una volta ormai  una dolce amica,per quanto riguarda l'aspetto intimo  una vera number on ... Looks : Services: View Comments Add a comment Comment is awaiting moderation","Escort and hot girl Cristina in Seoul","Sweden","Last modified: 02 Sep 2015","Dubai","sabryna"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:British Age:27 Eyes:Brown Hair:Black Hair Length:Long Height: 176 cm (5' 9 ) Smoker:No Drinking:Occasionally Languages: English Russian Available for: Incall: Private apartment Orientation:Bisexual Service for: Men Women Couples 2+","VIP Model Jenna is a model for certain events. She loves Dinner Date, Long Booking, overnight on the Maldives, Bora Bora, Bahamas, Hawaii, Los Angeles, San Francisco, New York, London, Dubai, Abu Dhabi, Seychelles, Mauritius, Singapore, Paris, Milan, Roma, Oman, Miami, Monaco, Mumbai, Tokyo, Cape Town. The reservations should be discussed in advance. It is a model that they will never forget. Incredibly memorable and harmonious in every respect to VIP Model Jenna bring a little attention then we recommend Gucci, Agent Provocateur, Bottega Veneta, Christian Louboutin, Stella McCartney, Valentino, Hermes, Chanel, Fendi, Prada, Burberry, Jimmy Choo, Roberto Cavalli and much more&hellip; These are a few suggestions. Yachts and private jets, first class and business class are always welcome, they will be impressive by their pleasant demeanor. Alana Gold wishes them an incredible experience with VIP Model Jenna. Jenna is incredibly open-minded, open to all things, very smart, sexy, sensitive, the perfecte accompaniment to dinner, the perfecte accompaniment for events. extremely open minded Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Fisting Full Body Sensual Massage Gangbang Lesbian Sex Games Lingerie Outdoor Sex Prostate Massage Rimming (give) Rimming (receive) Snowballing Striptease Lapdance Golden Shower (give) Leather Latex PVC Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Titjob Anal massage (give) Anal massage (receive) Shower service Whirlpool Handjob Fingering Footjob Quickie Rates Incall 1 hour: 600 GBP (~774 USD) additional hour : 400 GBP (~516 USD) Outcall 1 hour: 600 GBP (~774 USD) additional hour : 400 GBP (~516 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Agency Alanagold Base city: London Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 27 Click for details Vip Mode..., 20 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Nastik in Donezk","United States","Last modified: 21 May 2016","Dubai, United Arab Emirates","Vip Model Francesca"
"BIO  th  Category: td  Female Languages: English Service for: Men","Stop fantasizing about how our date could be and give me a call! Book me for an incall or outcall and we can meet. I can be more than a quick date! I am a sensual girl, with a playful and vivacious attitude. I can also be the perfect companion if you need a classy girl by your side! With me everything is on the table. You just have to express your wishes and together we can have some fun fulfilling them. From anal, blowjob without condom to completion and sex in different positions, to CIM, CIF, COB and erotic massage&hellip;my range of services is pretty extensive! Just choose your favorites and let&rsquo;s start the sex party! Call me now and let&rsquo;s meet. Services Anal Sex Cum in Mouth Cum on Face French Kissing Kissing Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Extraball Blowjob without Condom Swallow Cumshot on body (COB) Erotic massage Handjob Additional: DATY Rates Incall 1 hour: 150 USD 3 hours: 300 USD 10 hours: 500 USD 24 hours: 700 USD 2 days: 1,200 USD 3 days: 1,600 USD 4 days: 1,950 USD 5 days: 2,300 USD 6 days: 2,650 USD 7 days: 2,950 USD Outcall 1 hour: 150 USD 3 hours: 300 USD 10 hours: 500 USD 24 hours: 700 USD 2 days: 1,200 USD 3 days: 1,600 USD 4 days: 1,950 USD 5 days: 2,300 USD 6 days: 2,650 USD 7 days: 2,950 USD All services are included in this price.   1 day means up to 24 hours    + cab fare 50 Griwna Payment: Down payment travel expenses PLUS $150 DEPOSIT for 1 day bookings, travel expenses PLUS $250 DEPOSIT for 2 day bookings, travel expenses PLUS $300 DEPOSIT for 3 days or more bookings . A deposit of 50% is required if you prefer to purchase the ticket and to send us an e-ticket For reservations in Kiev: For dates in Kiev ODESSA LVOV we have a travel flat rate of $175 within Ukraine Travel Rates & Conditions Minimum Booking 1 hours Travel Destinations Europe only Contact Agency Devushki1 Base city: Donezk Available in: Kiev, Odessa, Lviv Phone: Other phone instructions:SMS and text only E-mail: Web: www.devushkione.com alexandra.html Private message: Working time I am available 24 7 See all escorts from Devushki1 view type Click for details Vanessa, 24 Click for details Darya, 27 Click for details Vika, 23 Click for details Carolina, 28 Click for details Luisa, 29 Click for details Jana, 20 Click for details Elvira, 19 Click for details Diana, 19 Click for details Elen, 31 Click for details Katya, 22 Click for details Dana, 26 Click for details Anya, 22 Click for details Sonya, 23 Click for details Mila, 24 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Monica in Dubai","Turkey","Last modified: 05 Jun 2016","Dubai","Natasha"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:French Age:26 Eyes:Green Hair:Blond Hair Length:Long Height: 173 cm (5' 8 ) Breast:Natural Dress size:S Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women","We are an Elite Gentlemans`Companion, at the time located around the World (Dubai, Singapore, London, Paris, Milano, Berlin, New York, Abu Dhabi and World wide.) &ndash; but you can also meet us in almost every place in the world. We offer high class full-service of the most exquisite quality. Please take your time and enjoy your time on our site.&ldquo; An intellectually inspiring conversation can be as exciting as a physical experience&rdquo;. We love to share this experience with you. Alana gold is a high class agency for travel escorting, business escorting, boat partys and more&hellip; The ladys have a highgrade education. Alana Gold specializes in overnight stays, holidays, accompaniments, long bookings and dinner dates. Our models are all independent, extraordinary, wise,athletic, independent, and incredibly beautiful and sexy women. They know how they have to behave in the situations booked. A very small but selected range ofsuper high class models for every pleasant occasion. I wish you a very exciting experience and gold by Alana. Alana gold their &ldquo;personal assistant for fun and amusing society&ldquo;. Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Full Body Sensual Massage Lesbian Sex Games Lingerie Masturbate Outdoor Sex Rimming (receive) Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Titjob Whirlpool Sauna Handjob DUO Oral (receive) Rates Incall 1 hour: 600 GBP (~774 USD) additional hour : 400 GBP (~516 USD) Outcall 1 hour: 600 GBP (~774 USD) additional hour : 400 GBP (~516 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Agency Alanagold Base city: London Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 22 Click for details Vip Mode..., 27 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Kate in Milan","United Kingdom","Last modified: 14 Jun 2016","Dubai, United Arab Emirates","Vip Model Pearl"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Russian Age:29 Eyes:Brown Hair:Brunette Hair Length:Very Long Tattoo:No Piercing:No Height: 166 cm (5' 5 ) Smoker:No Drinking:Occasionally Languages: Russian English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples"," ","Escort and hot girl Vip Model Jenna in London","Italy","Last modified: 11 Nov 2015","Milan","Vip Model Donna"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:British Age:25 Eyes:Brown Hair:Blond Hair Length:Long Tattoo:No Piercing:No Height: 174 cm (5' 9 ) Smoker:No Drinking:No Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men"," ","Escort and hot girl Vip Model Isabella in New York City NY","United States","Last modified: 15 Dec 2014","Milan, Italy","Demi Adriana"
"BIO Category:Female Ethnic:Latin Nationality:British Age:22 Eyes:Brown Hair:Black Hair Length:Long Height: 168 cm (5' 6 ) Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples"," ","Escort and hot girl VIP MODEL DONNA in Rome","United Arab Emirates","Last modified: 11 Nov 2015","Milan","VIP MODEL JADE"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Swiss Age:24 Eyes:Brown Hair:Blond Pubic hair:Shaved completely Height: 174 cm (5' 9 ) Weight: 61 kg (134 lbs) Bust-Waist-Hip:36-25-34 Cup size:D Breast:Natural Dress size:M Smoker:Occasionally Drinking:No Languages: German English French Spanish Available for: Incall: Hotel room Outcall: Hotel visits only Orientation:Heterosexual Service for: Men Favorite Cuisine:french Favorite Drink:green apple Favorite Flower:roses Favorite Perfume:angel Favorite Designer   Brand:LV Sports:swimming,sky,iceskating Other Hobbies:reading,sex :))"," ","Escort and hot girl Alexandra in Donezk","United Arab Emirates","Last modified: 06 Jun 2016","Milan, Italy","Vip Model Janina"
"Super sexy escort BIO Category:Female Ethnic:Caucasian (white) Age:19 Hair:Light brown Hair Length:Long Height: 175 cm (5' 9 ) Languages: English Italian Available for: Incall Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men Home City: Kiev (Ukraine)"," ","Escort and hot girl Vip Model Angel in London","United States","Last modified: 06 Jun 2016","Donezk","Vip Model Rachel"
"BIO  th  Category: td  Female  th  Ethnic: td  Mixed  th  Nationality: td  Dominican  th  Age: td  21  th  Eyes: td  Brown  th  Hair: td  Black  th  Hair Length: td  Long  th  Pubic hair: td  Shaved completely  th  Tattoo: td  Yes  th  Piercing: td  Yes Weight: 117 kg (257 lbs)  th  Bust-Waist-Hip: td  36-26-28  th  Cup size: td  C  th  Breast: td  Natural  th  Dress size: td  S  th  Smoker: td  Occasionally  th  Drinking: td  Occasionally  th  Characteristic: td  Ass Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits  th  Orientation: td  Bisexual Service for: Men Women Couples Gays"," "," ","United States","Last modified: 04 Jun 2016","Donezk, Ukraine","Vip Model Tiana"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Italian Age:24 Eyes:Green Hair:Brunette Hair Length:Long Tattoo:No Piercing:No Height: 169 cm (5' 7 ) Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples"," "," ","South Korea","Last modified: 04 Sep 2014","Abu Dhabi","Cristina"
"BIO  th  Category: td  Female  th  Ethnic: td  Black  th  Nationality: td  South African  th  Age: td  23  th  Eyes: td  Brown  th  Hair: td  Light brown  th  Hair Length: td  Medium  th  Pubic hair: td  All natural  th  Tattoo: td  Yes  th  Piercing: td  Yes Height: 135 cm (4' 5 ) Weight: 47 kg (103 lbs)  th  Cup size: td  B  th  Breast: td  Natural  th  Shoe size: td  34  th  Dress size: td  M  th  Smoker: td  Occasionally  th  Drinking: td  Yes Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits  th  Orientation: td  Bisexual Service for: Men"," "," ","Ukraine","Last modified: 28 Apr 2016","Abu Dhabi, United Arab Emirates","Nastik"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Italian Age:27 Eyes:Brown Hair:Blond Hair Length:Medium Height: 175 cm (5' 9 ) Smoker:No Drinking:Occasionally Languages: English Italian Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples"," "," ","United States","Last modified: 23 Jul 2015","Boston MA, United States","Kirby"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:British Age:27 Eyes:Black Hair:Black Hair Length:Long Tattoo:Yes Piercing:Yes Height: 177 cm (5' 10 ) Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples 2+"," "," ","United Arab Emirates","Last modified: 20 Jul 2016","Los Angeles CA, United States","Vip Model Monica"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Italian Age:26 Eyes:Green Hair:Light brown Hair Length:Very Long Height: 174 cm (5' 9 ) Smoker:No Drinking:Occasionally Languages: English Italian Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples"," "," ","South Africa","Last modified: 13 Jun 2015","Manhattan NY","Justina"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Italian Age:26 Eyes:Green Hair:Black Hair Length:Long Pubic hair:Shaved completely Tattoo:No Piercing:No Height: 173 cm (5' 8 ) Weight: 56 kg (123 lbs) Cup size:D Breast:Silicone Shoe size:39 Dress size:S Drinking:Occasionally Languages: English Italian Available for: Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples Keywords : VIP Companion Muscular Model  Ex-model Super busty College girl Fitness girl"," "," ","Italy","Last modified: 21 May 2016","Manhattan NY, United States","Vip Model Kate"
"A nice beauty BIO Category:Female Ethnic:Caucasian (white) Age:32 Hair:Blond Hair Length:Long Height: 172 cm (5' 8 ) Languages: German English Available for: Incall Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men Home City: Kharkov (Ukraine)"," "," ","United Kingdom","Last modified: 04 Jun 2016","London","Vip Model Jenna"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:Italian Age:20 Eyes:Brown Hair:Light brown Hair Length:Very Long Height: 168 cm (5' 6 ) Smoker:Occasionally Drinking:Occasionally Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Couples Keywords : VIP Companion Muscular Model  Ex-model All natural Fitness girl"," "," ","United States","Last modified: 14 Jun 2016","London, United Kingdom","Vip Model Isabella"
" "," "," ","Italy","Last modified: 21 May 2016","Stockholm, Sweden","VIP MODEL DONNA"
" "," "," ","Ukraine","Last modified: 28 Apr 2016","Manhattan NY","Alexandra"
" "," "," ","United Kingdom","Last modified: 04 Jun 2016","Manhattan NY, United States","Vip Model Angel"
" "," "," "," "," ","Ankara"," "
" "," "," "," "," ","Ankara, Turkey"," "
" "," "," "," "," ","London"," "
" "," "," "," "," ","London, United Kingdom"," "
" "," "," "," "," ","Milan"," "
" "," "," "," "," ","Milan, Italy"," "
" "," "," "," "," ","Trenton NJ, United States"," "
" "," "," "," "," ","Dubai"," "
" "," "," "," "," ","Dubai, United Arab Emirates"," "
" "," "," "," "," ","Dubai"," "
" "," "," "," "," ","Dubai, United Arab Emirates"," "
" "," "," "," "," ","New York City NY"," "
" "," "," "," "," ","New York City NY, United States"," "
" "," "," "," "," ","Manhattan NY"," "
" "," "," "," "," ","Manhattan NY, United States"," "
" "," "," "," "," ","Seoul"," "
" "," "," "," "," ","Seoul, South Korea"," "
" "," "," "," "," ","Donezk"," "
" "," "," "," "," ","Donezk, Ukraine"," "
" "," "," "," "," ","Greensboro NC, United States"," "
" "," "," "," "," ","Dubai"," "
" "," "," "," "," ","Dubai, United Arab Emirates"," "
" "," "," "," "," ","Cape Town, South Africa"," "
" "," "," "," "," ","Milan"," "
" "," "," "," "," ","Milan, Italy"," "
" "," "," "," "," ","London"," "
" "," "," "," "," ","London, United Kingdom"," "
" "," "," "," "," ","New York City NY"," "
" "," "," "," "," ","New York City NY, United States"," "
" "," "," "," "," ","Rome"," "
" "," "," "," "," ","Rome, Italy"," "
" "," "," "," "," ","Donezk"," "
" "," "," "," "," ","Donezk, Ukraine"," "
" "," "," "," "," ","London"," "
