"city","description","title","age","state","posting-date","location","review-id"
"DURHAM","Hey my name is isabellaMy pictures are 100 percent real Hablo espaol amor Qv50 hh 90 Tengo especiales hoy Dont call to waist my timeNO AFRICAN American guys under 30 years old For more information call Dont be rude or you will get blocked Thanks","Isabella papi come make youre dreams come true","22","NC","11 day","DURHAM NC","2664345"
"DURHAM","Sweet Intelligent You do not hear that often on here Im the perfect combination of sultry vixen girl next door1OO INDEPENDENT Always discrete No drama Sexy Fun Big Booty Very Busty My goal is to keep you relaxed coming back for moreSoft skin sparkling eyes beautiful cute toes cute voice amazing conversation did I mention FUN what are you waiting forLacey","YuM YuM SeXXY NeYCM GeTYoUSmECuRvY ASS P L","24","NC","10 day","DURHAM NC","2665753"
"ROCHESTER","ME AND MY FRIEND ARE WORKING FOR SUMMER JOBCALL US IF YOU WANNA HAVE DOUBLE FUNYOU WILL COME BACK TO ME FOR MORE CALL sorry NO BLACK GENTLEMAN","TWO GIRL SPECIAL","23","NY","4 day","ROCHESTER NY","2664194"
"NEWARK","Photo On Ad Are 100 Real So Dont Ask About Pics Please Pleasure And Relaxation Be The King Fun And None Rushed Sessions for hh or more Stop No Games Sorry No African Americans Under 30call Ashley","Now in Newark New To Backpage Pics Real","25","DE","1 day","NEWARK DE","2681986"
"DENVER","Hey Im Mistress Natalia Im a 20 year old Cajun Mistress I have Naughty Hazel eyes Come have some fun with Me ask about my girl Peyten Carter Call Text Instagram misstressnatalia No Black Guys No Time Wasting","NewBi Natalia Your Cajun BBW Naughty Little Mistress","20","CO","5 day","DENVER CO","2765384"
"AUSTIN","I am not your typical backpage experience I cater to men women and couples looking for a one of a kind experience I am very open and kink friendly most everything goes420 AA BBC friendly Donations are for my TIME only anything that happens in that time is between consenting adultsPictures are 100 REAL and of MELocation is safe DISCREET and clean Contact me for my SPECIAL rates","LUNCH SPECIAL Young talented upscaleFetish Friendly and very openFirey Redhead","21","TX","23 hour","AUSTIN TX","2640514"
"NEWARK","Clean And Comfortable Atmosphere Deep Tissue Swedish Shiatsu 60 For One Hour 40 For Half hour Open 900AM1100pm FREE TABLE SHOWER Hot Towel Treatment All New Friendly Asian Staffs Help you enjoy everyday without pressure Call Now For Your Appointment 3513 Old capital trail Wilmington De 19808","NEW NEW opening ALL SEXY ASIAN GIRLS HOT","23","DE","2 day","NEWARK DE","2699969"
"NEWARK","WANT ME WRAP MY LONG LEGS AROUND YOU DO YOU LIKE ME IM SOOOOO HORNY CAN I COME OVER I LOVE TO PLAY YOUR WAY TEX ME CALL ME IM READY FOR U Bridgeville dover Milton Millsboro Del Mar call me Ill come for sure","SEAFORD MillS MIltON CAMden area JAZZIE exclusive outcall NOWSo hot super","25","DE","1 day","NEWARK DE","2681982"
"NEWARK","I PRVIDXCLUSIV SRVICS FR PRFSSINAL GNTLMN NLY I PRMIS T PLSUR SDUC U IN VR WA PSSIBL I CAN GUARANT UR GTTING XACTL WHAT U CAM FR TRUST M ULL B BACKCALLTXT","1oo u","22","DE","2 day","NEWARK DE","2680362"
"HOUSTON","ltugtSasha If You Are Tired of The Fakes and Used and Abused Pictures Then Give Me a Call Im Mixed With Latina Black and Hawaiian Im 52 and Weigh about 135lbs I have Beautiful Soft Smooth Skin A Smile That Lights Up a Room I am Always CleanHygiene is a MUST for YOU TOO Im Blount But in A Real Way Not Rude And your going to want to really Spend more Time With meltbgtNO Black Men KIDS THUGSOF ANY RACEWEIRDOS CREEPS OR PIMPS","Just Visiting Independent REAL MIXED Latina BEAUTY it Me or its Free Leaving SOON","22","TX","1 day","HOUSTON TX","2648251"
"PORTLAND","Craving something thick sweet and juicy Indulge in the perfect plus size treat Experience a true oasis in your week I like it from be hind and this dirty girl is always up late and ready to gr ind Smaller BBW 52 curves in all the right places attractive face long silky brunette hair and all natural 38EE that never fail to please I cater to you Your wish is my demand Real Pix Well Reviewed Local Legit 75 Incall 100 Outcall pecials Call me day or night Why have the rest when u can have the best Bella","H0RNy VoLuPTuouS ViXXXeN My NaTuRaL 38EE NeVeR FaiL 2 PLeaSe 75 PeCiaL CaLL Me aNyTiMe","29","OR","1 day","PORTLAND OR","2701420"
"HOUSTON","Hello my dears My name is LisaI have long brown hair and Brown eyesIf a long legged tight tan and toned young female companion is what you desire then here I amAge 22Nationality ChineseHeight 53 Weight 105 lbs Measurements 36D2435Outcall OnlyCall Lisa To","Houston Outcall Only Silm Asian Girl Lisa Call Lisa To","22","TX","2 day","HOUSTON TX","2646613"
"NEWARK","Hi Cutie Im Carmen with an Addictive Tongue game Let Me Show U what A Tightan Beautiful Service is all about 100 DiscreetPRETTY FACECLEAN COZYALWAYS LOOKINGSMELLING AMAZING GREAT PERSONALITY 100ME full Body Massage 40xtraRECENT REAL PHOTOSSO PICK UP UR PHONE AN CALL ME NOW GUARANTY U WONT REGRET OUTCALLS NO THUGGSNO PIMPS Private or blocked calls","Come Relax and Unwind w This Jamaican Bad GyalCarmen Creme always ready for youINCALLS","23","DE","10 day","NEWARK DE","2683605"
"HOUSTON","Im SuPER SWEET  and I have a   FRIENDLY &amp; OUTOING personality and   DEVILISH CURVES to Match... I can guarantee you a moment of     UNFORGETTABLE events... Looking for something SEXY  and UNIQUE  ...   I&#39;m the perfect combinations of SWEET &amp; spicy      ...I KNOW WHAT YOU NEED! 832-306-1965 (DIAMOND)    I apologize im not mobile located 1960 and 45 area. Room fee included                 ","      Houstons bbw goddess      ","24","TX","2 hour","HOUSTON TX","2650915"
"NEWARK","Hey papi come me 4some fun n relaxation Thick n all the right placesI offer a safe discreet locationPlease only SERIOUS phone callstexts be respectful no gamesvery clean Showers before and after each session both of our time is precious No need for endless textineverything is protected all timesshower b4 seeing me is a mustI ask 4 a pic upon arrival times 11pm530am INCALLS ONLY 420friendly","Spanish Thick bbwincalls only 11pm530am","23","DE","4 day","NEWARK DE","2695026"
"NORFOLK","Very attractiveThick and tight body with sexy curvesOutgoing and bubbly personality a HUGE sweetheartIncalls and outcallsLaw enforcement pictures are real recent and 100 me or its freeI dont book future appointments Please SERIOUS inquiries about TODAY onlyCall or text Christina","One FinGer TigHt sUpeR BaD iF OnLy U KnEw How Good i WaS","21","VA","1 day","NORFOLK VA","2800399"
"DENVER","Hi Im nicole Im new in town from Vegas I consider myself to be a sophisticated classy individual with a very warm heart which makes me the perfect companion for a very distinguished gentlemen who enjoys the the qualities of a woman serious inquiries only please doing incall outcall","new hottie in town incalloutcall","28","CO","3 day","DENVER CO","2768905"
"NEWARK","Jasmineyou are looking for a hot sweet bubbly outgoing WOMAN to show you a great time IM YOUR GIRL100 REAL PICS57 Perky REAL 34DD Last but NOT Least PerkyTight Juicy ButtEveryone That Visits Leaves Extremely Satisfiedin and out callsNO RUDENESS No Thugs NO BS No blacksABSOLUTELY NO LECALLTEXT","CO ME SLAYME","27","DE","2 day","NEWARK DE","2680369"
"DURHAM","I am here to please you rubbing you in all the right ways places will send you to the stars with pleasure Busty like no other 42DGinger130hr 100hhr I do not see AA men or text I am the real deal so pick up the phone and callThis is not a solicitation for prostitution","This Red Head BBW will make all your dreams come true I work harder than others","26","NC","10 day","DURHAM NC","2665749"
"NEWARK","NO LAW ENFORCEMENTNO DRAMA NO GAMESPICS ARE 100 realIncall and outcall Call now Eva","Sexy Mammi Guaranteed Satisfaction Upscale Service INCALLS AND OUTCALLS","23","DE","4 day","NEWARK DE","2676958"
"NEWARK","Hi my name is Megan im new In town and looking for fun Im clean open minded and a freak who is guaranteed to please Ill suck your dick and balls and wrap this warm sweet hot spot around you like never before I do not like texting so please only serious inquiries i will not send you pictures mine are real so do not ask Ill be waiting on your call NO GUYS UNDER 30 NO LAW ENFORCEMENT OFFICERS","Gods GiftCome Sin WithMe More Tricks Than A Magician","22","DE","12 hour","NEWARK DE","2683606"
"NEWARK","Beautiful Gentle and Sexy Girls are ready to give your mind and body relaxation Very soft and sensuous hands are waiting to make you feel like new Enjoy a clean and friendly environment and a new staff that experienced and professional Very Clean and Luxurious Private Rooms Open 7 DAYS A WEEK 900AM 1100PM Call We accept major credit cardsacross the street from Hunters Den RestaurantLocated 3513 Old capital trail Wilmington De 19808","Magic Touch CLASSY LOVELY ASIAN","23","DE","23 hour","NEWARK DE","2701905"
"HOUSTON","Hi GuysI am Coco 23 years oldI am a Chinese girl 53 105 lbs with amazing measurement34D2434 BustyI am a playful girl waiting for you Come relaxI can offer you a soothing massage to relax all the stress from your day Call me for an appointment now Outcall Only","Houston Outcall Only Playful Coco Sexy Asian Girl","23","TX","1 day","HOUSTON TX","2648247"
"HOUSTON","Hi GuysI am Coco 23 years oldI am a Chinese girl 53 105 lbs with amazing measurement34D2434 BustyI am a playful girl waiting for you Come relaxI can offer you a soothing massage to relax all the stress from your day Call me for an appointment now Outcall Only","Houston Outcall Only Playful Coco Sexy Asian Girl","23","TX","21 hour","HOUSTON TX","2670290"
"BALTIMORE","I am a sexy barbie I am open minded and can adjust to your needs I provide a sensual and relaxing massage experience I love to kiss and cuddle I aim to PLEASE I cater to mature established generous businessmen only My rates are 300hr 400 90mins 500 2hr Outcall only Please call No Text","Melanie MelonsNew VisitingOutcall Only","22","MD","3 day","BALTIMORE MD","2671552"
"OAKLAND","Are you ready for a breath taking experience Im curvy foreign and fetish friendly A great time Allow me to put you at ease Upscalesafe discreet PROFESSIONAL men only DONT worry Im an experienced INDEPENDENT provider 1st timer GREAT I love newbies Outcalls incal REAL baby Providing an un rushed All about you PlaytimeUpscalesafe discreet PROFESSIONAL men onlyIm an experienced INDEPENDENT provider well mannered TextCall NoLaw","Naughty foreign freak fetish ready","23","CA","3 day","OAKLAND CA","2663247"
"DURHAM","I absOlUteLy lOve being limitlessly explOred EvErYwHeRe Relax and watch as I eagerly drain you of every last drop of your energy Experience all my right moves with just the perfect rhythm Im building a small yet exclusively elite client base and thereafter removing my ad from this heavily monitored public forum Text me Mariah to schedule your full and complete session 300 per hour and Yes I do thAt too","IM HEEEEERE Ready Eager to play Play PLAY Thank you all for such a wArm welcome bAck","32","NC","6 hour","DURHAM NC","2665748"
"CHICAGO","I am a voluptuous woman living in Chicago area. I have long red auburn shoulder hair, emerald green eyes, and a 48F natural bust size. Equipped with a fantastic ass, thick thighs, a soft stomach and luscious full lips. Im a busty lady with Real Curves and most importantly I ENJOY WHAT I DO. Sexy, Curvy, Hot Creamy Smooth Skinned Beauty is the best way to describe me, my 53 CURVY well proportioned figure boasts my Soft Round F Cup all Natural Breasts, but in actual fact my best features being my sumptuous full kissable lips and round peachy bottom. I&#39;m a genuine naturally curvy woman and loves to be with curvy woman admirers.","Buttermilk Thick Plus Sweet &amp; Spicy","21","IL","23 hour","CHICAGO IL","2624448"
"NEWARK","Hey babes its Available all night Lets have a good meeting A skills will give you chillsdont believe me Come find out100 Skilled100 Real100 Satisfaction guaranteed thick Jamaican african mixed treat Young Fun Always Clean Smelling Good Independent Safe DiscreetAvailable Day NightNo Restricted Calls MATURE MALES ONLY NO EXCLUSIVE TALKING Text messages WELCOMED Discreet and Clean35Dont keep me waiting","Big Bouncy Booty Just Call Me Judy mix african jamaican call me","35","DE","23 hour","NEWARK DE","2701901"
"VIRGINIA BEACH","Tidewater favorite MILF is back in town and ready to play One of my body rubs will leave you feeling completely relaxed and satisfied In calls conveniently located You wont be disappointed DIANE My place 120hourYours 140hour In calls only before 6 pm One hour minimum required Texting is finebut we MUST talk before meeting This is not a solicitation for prostitution No lewdrudeness tolerated Caucasian gentlemen ages 30 and over only please","Missing my amazing body rubsIm back Great reviews Start the weekend early 2304363","23","VA","11 hour","VIRGINIA BEACH VA","2659811"
"DURHAM","Hey Chocolate Drop here Pure satisfaction the best you never had Here in Raleigh for a limited time only so dont miss out I will make you forget all about your problems with my charming personality and beautiful face No rushing just pure excasty","New Girl In Town Sexy Chocolate Vixen Dont Miss Out","24","NC","6 hour","DURHAM NC","2665755"
"BURLINGTON","Hey guys my name is Horizon I have sexy long dark hair with soft mocha skin Im thick in all the right places Well educated and well mannered and needs respect but I am the most flirty playful girl you will ever meet Call me any time hun Serious inquires only please If Im not the girl in photos service is free","Hot AsianIndian new to town looking to have a great time","23","VT","1 day","BURLINGTON VT","2676104"
"DURHAM","I absOlUteLy lOve being limitlessly explOred EvErYwHeRe Relax and watch as I eagerly drain you of every last drop of your energy Experience all my right moves with just the perfect rhythm Im building a small yet exclusively elite client base and thereafter removing my ad from this heavily monitored public forum Text me Mariah to schedule your full and complete session 300 per hour and Yes I do thAt too","IM HEEEEERE Ready Eager to play Play PLAY Thank you all for such a wArm welcome bAck","20","NC","10 day","DURHAM NC","2665748"
"ALBUQUERQUE","Hello Gentleman My name is Coco Come enjoy a 5 Experience with an upscale exotic playmate Ive got a big juicy booty thick thighs and a charming personality No time with me is ever rushed 100 Independent 100 Real PicsUpscaleClean safe and discreet Stop looking for something else Everything you need is right here baby Dont forget to text or call me now No BlockedNo AA men","Treat Yourself Big BOOTY","27","NM","12 hour","ALBUQUERQUE NM","2787891"
"DURHAM","I am here to please you rubbing you in all the right ways places will send you to the stars with pleasure Busty like no other 42DGinger130hr 100hhr I do not see AA men or text I am the real deal so pick up the phone and callThis is not a solicitation for prostitution","This Red Head BBW will make all your dreams come true I work harder than others","19","NC","6 hour","DURHAM NC","2665749"
"SEATTLE","FellasReady to learn a few thingsLet me Prepare you for a class of EcstasyI have a Bachelor in AppealI have a Master in TeasingI have a PHD in PleasingClasses start now Enrolling 24hrs SHOWERING B4 YOU ARRIVE IS YOUR FIRST ASSIGNMENT NO DRAMA NO RUSH NO TEXTS gurntd 5 stars prformnc 100 Cleanliness I love polite and respectful gentlemen R E A L RECENT PICTURES TEXTCALL","Renton Incall C U M Enjoy Some ChoColate","25","WA","1 day","SEATTLE WA","2677488"
"NEWARK","HEY BOYS It Nicole your East Indian MIXXED PRINCESS Here from Cali only for a few days Im sexy sweet spicy honest girl Real pics No bait switch 54130pounds 38DDEVERYTHING YOU WANT NICOLE","Exotic MIXXED PrinceSs DrPpnG BuSty SeXY FeAKY AvAiLaBLe NoW C PlAy WiTh M","25","DE","10 day","NEWARK DE","2683604"
"HOUSTON","Amazing from head to toe My pics are 100 accurate and recentI prefer to take my time and not rush at all during our time together so for now I am offering 100 OFF my 2 hr session Dont miss out","Rare one of a kind treat Hot and Sexy Spanish Sweetheart REAL pics","27","TX","2 day","HOUSTON TX","2646620"
"NEWARK","SincereSweetSexy So much fun 100 INDEPENDENT VERY Friendly VERY clean HONEST DISCREET 100 REAL PICTURES I Cater To Upscale Gentlemen UnRushed Experience Exotic Sweet Asian mixed beauty Thick Juicy 100 qk 140 hhr 200 fhrXoXo Princess Nina","NeW SEXy ViDeO ProOfSeXy SweEt MaMii Available NowJUiiCyTiGhT CurVeS","21","DE","2 day","NEWARK DE","2680371"
"SEATTLE","Hi Im DaisyI am 21 years old JAPANESE 53 36D Natural 106 lbsIm a sexy petite Asian girl with a beautiful face YOUNG AND sexyGIRLI have perky natural breast and a very nice complexion with a kindly personality and very playfulDaisy NO BLACK MEN NO TEXT NO BLOCK","Asian Natural Sexy Body NEW in Town INCALL ONLY Young Petite","24","WA","7 hour","SEATTLE WA","2679218"
"DURHAM","Sweet Intelligent You do not hear that often on here Im the perfect combination of sultry vixen girl next door1OO INDEPENDENT Always discrete No drama Sexy Fun Big Booty Very Busty My goal is to keep you relaxed coming back for moreSoft skin sparkling eyes beautiful cute toes cute voice amazing conversation did I mention FUN what are you waiting forLacey","YuM YuM SeXXY NeYCM GeTYoUSmECuRvY ASS P L","25","NC","6 hour","DURHAM NC","2665753"
"SAN ANTONIO","Professional GentleMen OnlyNo Rush Pure FunCall AbbyCall or Text for ratesThis is not a offer of prostitution just companionship","Sexy 6ft Amazon Fun Playful NO RUSH Gentlemens Choice","40","TX","2 hour","SAN ANTONIO TX","2788819"
"PORTLAND","Hi Im candiegreen eyesAuburn hair52130lbsbig breastedmaturehonest and freindlyrates 20000 out call150 in callkeep in mind I will negotiategive me a call","Cndy Mlt n UrMuth n UR Hnd","21","OR","4 hour","PORTLAND OR","2703003"
"NEWARK","Hey boys Im Sasha Here for some fun Im a tall petite chocolate peruvian treat 55 125 brown eyes clean no rush fetish friendly discreet Satisfaction100Call now Im waiting to fulfill your fantasiesTwo Girl SpecialsMulti Hr SpecialFetish friendlyDominantOpen MindedSasha","60Sp Erotic Chocolate Goddess Available Now","23","DE","3 day","NEWARK DE","2696714"
"HOUSTON","Hi GuysI am Coco 23 years oldI am a Chinese girl 53 105 lbs with amazing measurement34D2434 BustyI am a playful girl waiting for you Come relaxI can offer you a soothing massage to relax all the stress from your day Call me for an appointment now Outcall Only","Houston Outcall Only Playful Coco Sexy Asian Girl","44","TX","16 hour","HOUSTON TX","2649877"
"AUSTIN","hollyit cool to text meNo AA","YOU NEED to TAKE advantage of a HUMP DAY special","24","TX","6 day","AUSTIN TX","2630089"
"NEWARK","Hey papi come me 4some fun n relaxation Thick n all the right placesI offer a safe discreet locationPlease only SERIOUS phone callstexts be respectful no gamesvery clean Showers before and after each session both of our time is precious No need for endless textineverything is protected all timesshower b4 seeing me is a mustI ask 4 a pic upon arrival times 11pm530am INCALLS ONLY 420friendly","Spanish Thick bbwincalls only 11pm530am","21","DE","4 day","NEWARK DE","2695026"
"NEWARK","LIMITED TIME ONLY I AM YOUR PERFECTPLAYMATEMY Face is beautiful with an hour glass figureMy skills are A One of a kind EXPERINCE 32DDDs All Natural 120 51 Round Booty visiting for a short time so dont miss out 100 DISCREET serviceAVAILABLE NIGHT DAY100 ME 100 INDEPENDENT NO RUSH Serious Callers OnlyPlayful AffectionateCall me 247 CaLL NOW Stacii Dash LOOK ON NIGHTSHIFT for reviews Sexiistacii","32DDD ULTIMATE Puerto Rican petite BUBBLEbutt BODYgoddess","22","DE","12 hour","NEWARK DE","2683609"
"DETROIT","Naudia 45ss65hh100hr triple threatOut call specials all night 120","24hr Service","25","MI","2 day","DETROIT MI","2690307"
"NEWARK","Back by Popular demand Ms Mimi is here to help heal all your hearts so I hope your ready Doing in and outcalls here in DoverDe call now Im available donation apply for time spent Ill be waiting for you","Hey Hey I Heard Its more Fun at Night Best Time of Your Day Begans Here","22","DE","2 day","NEWARK DE","2680366"
"HOUSTON","Hello my dears My name is LisaI have long brown hair and Brown eyesIf a long legged tight tan and toned young female companion is what you desire then here I amAge 22Nationality ChineseHeight 53 Weight 105 lbs Measurements 36D2435Outcall OnlyCall Lisa To","Houston Outcall Only gtgtgtgt Silm Asian Girl Lisa ltltltlt Call Lisa To","21","TX","16 hour","HOUSTON TX","2649879"
"SIOUX FALLS","Sexy little lady looking to spice up life today with some playful fun with you 55125lbs36c Call for my donations please Jazz mature men onlyI enjoy the company of older men","New girl in town I Im a kisser who loves to be kissed all over ready now","23","SD","1 day","SIOUX FALLS SD","2688143"
"NEWARK","BEAUTIFUL TS Laura DENICE 1000 real PHOTOS Im Sincere Sweet Sensual Sexy Discrete So much fun ROLE PLAYING TONED CURVY BODY WITH SILKY SKIN Massages EXOTIC JUICY MEAT Mature Men Pl CALLWhen ReadyOnly W30minnotice Laura DENICE Ver TS Laura en YouTube httpsyoutubeaUzP5doi5M 160x30min DONT CALL IF YOU DONT HAVE ASKING DONATIONI AM NO SUPERCente FOR discount FACETIME TO SEE I AM 1000real","QUALITY transexual Laura DENICE In TOWN From Guadalajara MX call me daddy xoxoox","25","DE","23 hour","NEWARK DE","2701902"
"LEXINGTON","Hi Gentlemen this is seless the girl of your dreams Im sexy smart and have an ass to die for so if you want to have fun and have the time of your life give me a call or text me at Ill be waiting my rates are 80hr 120hr and 60qvAlso ask about the Two girl duopics of her Blue Ball Spinner","Seless Lexington Best","23","KY","5 hour","LEXINGTON KY","2785003"
"ATLANTIC CITY","No BLACK GUYS PLEASE Party Girl NO DRAMA NO APPOINTMENT same time inquiry only Let me know when 15 to 20 minutes Away from Route 73 Becky","TS Party Girl First Old Timers W NO BLACK MEN Massages Available","24","NJ","1 day","ATLANTIC CITY NJ","2693235"
"BURLINGTON","very pleasant lady My company I must say is sweet yet desirablelt3 I can guarantee you that you wont feel any other way If its discrete mature beautiful fun youre looking for in a female then Hi Im 58 with red hair blue eyes You wont regret any of it Feel free to text or call lt3 I want to add that respectful trustworthy serious inquiries ONLYOUTCALLS","LittleRedlt3SundayFunDay","22","VT","4 hour","BURLINGTON VT","2677776"
"DENVER","Hi there cuties im jenna and I love my job Im in great shape fit wild and open mindedMy pictures are real I drive myself I dont waste your time or watch the clock So for the time of your life call me at","Introducing Super Hot Flawless Blonde Bombshell 36d2236 fit with Real Pics Must See","18","CO","11 day","DENVER CO","2754571"
"WICHITA","Hi Im Lovely here for a little funnnOffering time and companionship a Serious Inquiries Only 100hhr 200hr text","Have the Time of your life","30","KS","2 day","WICHITA KS","2677382"
"BURLINGTON","140 lbs long black hair looking for a man to have a good time with no strings attached please call me or email me at or nikkip3282gmailcom hope to hear from you soon","Nakita fun fun fun","34","VT","1 day","BURLINGTON VT","2676111"
"CHICAGO","Hey sugar im hosting @ my NEW discreet lil candy shop (159 Pulaski) gimme a call @ (708)856-1490. My lil massage parlor offers: Swedish, deep tissue, Nuru and Tantra massage. 100% Satisfaction Guarateed!! $pcls!! Well reviewd:267741. Come check me out! Goldylocks111181.callgirlfiles. Check out my new site","My Candy Shop OPEN!! NEW discreet location!! $pcls!!","30","IL","4 day","CHICAGO IL","2618730"
"NEWARK","Hello Generous GentlemenIm SummerIm staying in Wilmington DE upscale in callI provide companionship to 40n WM professional gentlemen onlyTrust me Im worth the driveNo AA Fetishes upon request NO TxTNo Explicit CallsCheck out my reviews on t e r 269688My Tributes are NON NEGOTIABLE so please dont waste my time or yoursSerious callers only","Super attractive Jaw dropping Latina Well Reviewed Just Arrived","21","DE","3 day","NEWARK DE","2678723"
"NEWARK","NEW ARRIVAL 2 PRETTY GIRLSPretty young girls are waiting 4 uYoung Sexy girls are hereDont waste your time in the other placeCall me again or text me if I didnt pick up I will reply you asap I do very OPENMINDED menus Guarantee RELAXING SENSUAL EXPERIENCEUniforms CosplayMagic Hand With OpenMinded MenusBEST GIRL YOU CAN FIND HERE MUST TRY CALL ME BABY open 7day 900 am 1100 pm Cash only2304 Carpenter Station Rd Wilmington De 19810","Rainbow Spa 100 New Sexy Asian Dolls Make you forget Free Table Shower","22","DE","8 day","NEWARK DE","2688251"
"ORLANDO","Get Your Weekends Fix brgt Spicy Hot European Doll100 Real 34C sizeSomething NEW Freaky Exciting is RIGHT hereCall me Now 3523010172 OUTCALLS ONLYI have VIP Hr SPECIALS EXTREME PLEASURES Ask Me Lets Take Our TiME Relax Talk about all or DIRTY LittLe Secrets I will have U Coming Back For More AA Minimum Texting SERIOUS INQUIRIES ONLY","VIP Brunette BOMBSHELL Eager READY Meet Y O U","21","FL","1 day","ORLANDO FL","2660671"
"SALT LAKE CITY","Are you looking for an Upscale Amazing Experience I Suki 21 years old Student visiting all Natural 36D JapaneseKorean mix with luscious lips soft silky white skin and gorgeous body Open Minded highly skilled focused only on you I like to please generous gentlemen who can treat a girl right Discreet Clean TastygtgtgtgtCall 10015mins 120hhr 160hrNo black gents and No blocked calls","BEAUTIFUL PETITE Asian INCALL ONLY HOT Student Visiting Fro","22","UT","10 hour","SALT LAKE CITY UT","2791844"
"HOUSTON","Hello my dears My name is LisaI have long brown hair and Brown eyesIf a long legged tight tan and toned young female companion is what you desire then here I amAge 22Nationality ChineseHeight 53 Weight 105 lbs Measurements 36D2435Outcall OnlyCall Lisa To","Houston Outcall Only gtgtgtgt Silm Asian Girl Lisa ltltltlt Call Lisa To","21","TX","1 day","HOUSTON TX","2648250"
"DETROIT","SEXY and SWEETS E N S U A L and discreet I am sweet and E X C I T I N G to be aroundI am both classy and downtoearth with unique warmth and passion that will leave you wishing to see me again and again100 REAL RECENT PICOlder MeN OnlY No AA Please 50 80 140 Yes I Love 2 PartyI love To be Spolied Cuz I kno Im WOrth ItPlayful Open MindedDONT WASTE MY TIME I WONT WASTE YOURS100 independent I Forgien Men IWhite Men2 hrs for 230Call me","40 Ill MakE It RaiN BabYSlip AnD SliDe All DaY LillYHere To Please NoT TeaSe","22","MI","1 day","DETROIT MI","2691722"
"SALT LAKE CITY","Hi there Im Kay Im a highly skilled girl with enough passion to fulfill your needsI am classy genuine and extremely DISCREETI am 00 independent AND my pics are really me but do me no justiceI guarantee I can exceed your expectations 100 Real Pics NO BLOCKED CALLSUPSCALE GENTLEMEN ONLY PLEASEDont hesitate compare photosOutcalls only","Usc UNRUSHED BEAUTY SwET Rad HGHL KLLD","22","UT","10 hour","SALT LAKE CITY UT","2791837"
"TACOMA","Im Dani I am open minded and can adjust to your needs I provide a sensual and relaxing massage experience I aim to PLEASE will keep you coming back for more I cater to mature established generous businessmen only always dressed to impress fresh light screening is a must independent I drive myself 38 DDD 100 Real NO AA UNDER 35 Dani Call me DO NOT TEXT ME","NEWBeautiful Curvy Bombshell READY for you UPSCALE 100 REAL Outcall specials","24","WA","10 hour","TACOMA WA","2788200"
"BURLINGTON","Hey guys my name is Horizon I have sexy long black hair with soft mocha skin Petite Im thick in all the right places Well educated and well mannered and needs respect but I am the most flirty playful girl you will ever meet Call me any time Serious inquires only please If Im not the girl in photos service is free","Hot AsianIndian girl looking for someone to PLAY with","19","VT","4 hour","BURLINGTON VT","2677782"
"HOUSTON","Hi fellas Im Phantasy Im slim in the waist cute in the face and only here for fulfilling the finest of taste so dont hesitate to make me your choice today I specialize in making fantasies REALITYAlways Classy Always Sexy Always PassionateAlways DiscreetAlways Fresh CleanNice Safe Incall ASK ABOUT MY SPECIALSOPENED MINDED My pictures are 100 ME AVAILABLE CALL NOW Phantasy","5service sLim waste TiGHt grp EbOnY bARbI let maKe ur PHANTASY a REALITY","24","TX","2 day","HOUSTON TX","2646621"
"TULSA","Hello beautiful Tulsa 2 girl special Us out Carmela Diamond Were the kind of girls youve always fantasized about well educated exotic beauty 5 ft 7in 34cA great conversationalistand a fantastic lover Serious Caller ONLY please No blocked calls no black guys thanks Incalloutcall elite specialist","fit for a king Taylor made brought a friend 2 girl special","26","OK","9 hour","TULSA OK","2679344"
"ATLANTIC CITY","Looking for driver who can start TONIGHT Please be local to Willingboro areaIm NOT in AC Body like whoa I have shorter colored hair now but gorgeous as ever Mixxed petite bombshell Independent No rush sessionsStunning college beauty visiting for a short timeyou are sure to love meim all you need No black men 38C2834 52125 poundsRates Hhr Specials Massage w visitgt30 8045 13060 180Serious Inquiries ONLY please","College PartyGirl UP all nite daddy NO TEXTS Hhr Special","23","NJ","2 day","ATLANTIC CITY NJ","2691547"
"DENVER","Hay Im Fantasy YoungTight Right Ready for fun Im Your perfect companion I Cater to Gentlemen Wonderful visitors and Working men980 4250260 Law enforcement I provide a nonrushed discreet experienceI have a great sense of humor and Im very passionate in everything I do Just Pure Sensual Affection exactly what you Need NOAAIncall Im available now Just CALL or TEXT me","FRESH in town Ready to BLESS You with the BEST","20","CO","7 day","DENVER CO","2761218"
"TACOMA","heyy PLEASE read Call miIm Paige Im 20 years old with an amazing body Puerto Rican and ebony mix will have ur heart racing Im 100real for its freeCustomers leave 110 pleased never a problem My menu is open 100 But safety first everything I do is 100 covered and clean If ur interested I am available 247 PLEASE text to confirmappt time date lengthDont be shy B","100 me or its NEW ADDITION Come Play With This foreign bombshell 100qv SPECIAL CUT","21","WA","10 hour","TACOMA WA","2788197"
"SAINT LOUIS","Hello guys my name is CandyIm 54 105LBs 34D2335If you want to try the special Professional Nuru massage or whatever you wish to do with our time togetherIf you want to have a pure sweet Young Asian girl I believe Im your best choicebody on the body Incall 100 Recent Pics Absolutely real independent","First day in TownSEXY ASIAN","21","MO","1 day","SAINT LOUIS MO","2789026"
