Gbor Kirly
Benedikt Pliquett
Heiko Butscher
Marco Caligiuri
Mario Gomez
Florian Lechner
Gerrit Mller
Thierry Debs
Eddy Viator
Benot Lesoimier
Vincent Plant
Ronald Zubar
Florian Fromlowitz
Dominick Kumbela
Andreas Schfer
Marcel Ndjeng
Lukas Podolski
Paolo Guerrero
Leonhard Haas
Patrick Ochs
Markus Brzenska
Patrick Kohlmann
Branko Bokovi
Fabrice Do Marcolino
Henri Bedimo Nsam
Jonathan Brison
Jean-Franois Rivire
Malik Couturier
Christophe Jallet
Jrmy Perbet
Fabrice Levrat
Gilles Yapi Yapo
Rio Antonio Mavuba
Skou Baradji
Jrme Lafourcade
Jean-Paul Kalala
Jrmy Berthod
Gal Genevier
Romain Sartre
Ian Dunbavin
Joe Hart
Ryan Lowe
Luke Rodgers
DJ Campbell
Charlie MacDonald
Sam Sodje
Jude Stirling
John Grant
Sam Ricketts
Terry McFlynn
Alexei Eremenko
Juho Mkel
Roni Porokara
Chris Srensen
Frank Hansen
Andy Procter
Nikki Bull
Aaron McLean
Simon King
Ben Strevens
Matt Duke
Wayne Brown
Ben Davies
Danny Collins
Kevin McIntyre
James Coppinger
Ryan Green
Paul Parry
Ben Smith
Akpo Sodje
Jim Bentley
Garry Thompson
Steven Davis
Kris Stadsgaard
Jonas Troest
Martin Vingaard
Kolja Afriyie
Kim Christensen
Anders Due
Kenneth Fabricius
Rajko Leki
Christopher Poulsen
Peter Utaka
Joeri Vastmans
Anthony Portier
Wouter Biebauw
David Vandenbroeck
Stijn Minne
Rune Pedersen
Daniel Agger
Mads Junker
Henrik Kildentoft
Simon Poulsen
Wolfgang Klapf
Marko Stankovi
Dominique Taboga
Andreas Hlzl
Florian Mader
Hans-Peter Berger
Enrico Kern
Jrgen Patocka
Ramazan zcan
Manuel Ortlechner
Franz Schiemer
Ibrahima Sidib
Koen Persoons
Kevin Geudens
Mickal Mntrier
Braulio Luna
Kelvin Davis
Tom Newey
Gabriel Zakuani
Brian Saah
David Bird
Kayode Odejayi
Andy Gallinagh
John White
George Elokobi
Scott Bevan
Ben Harding
Jason Puncheon
Dale Tonge
Nicky Wroe
Scott Flinders
Bradley Johnson
Gal Clichy
David Bentley
Alexander Tettey
Alexander Mathisen
Dylan Macallister
Robert Koren
Shane Stefanutto
Tomasz Sokolowski
Olivier Occan
Karim Essediri
Pter Kovcs
Jonathan Douglas
Paul Reid
Jacob Burns
Liam Chilvers
Dimitrios Konstantopoulos
Steven Thomson
Jamie Cureton
Sean O'Hanlon
Calvin Zola
Ricardo Vaz T
Liam Rosenior
Danny Pugh
Darren Ward
Piqu
Michael Doyle
Bradley Orr
Mike Williamson
Martin Woods
Paul Keegan
Aaron Lennon
Peter Leven
David Hunt
Eddie Johnson
Rodrigo Alvim
Quirino
Leonardo Silva
Diego Souza
Bob
Rosinei
Marquinhos
Danilo
Edcarlos
Ibson
Henrique
Roger
Jussi
Alex
Rafael Sbis
Felipe Saad
Johnnie Jackson
Mark Yeates
Mark Noble
Chris Cohen
Chad Marshall
Chris Wingert
Troy Perkins
Clarence Goodson
Ramn Nez
Josh Gardner
Ned Grabavoy
Joseph Ngwenya
Ryan Cochrane
Steve Cronin
Jack Smith
Ashley Young
Hameur Bouazza
Jos Sand
Gabriel Pereyra
Daniel Montenegro
Rubens Sambueza
Edgar Barreto
Vincent Gragnic
Darryl Flahavan
Grzegorz Wojtkowiak
Mariusz Pawelec
Lee Barnard
Dean Marney
Stephen Kelly
Renato Civelli
Per Ciljan Skjelbred
Daro Cvitanich
Rodrigo Palacio
Jakub Wawrzyniak
Gareth Stewart
Neil Alexander
Magnus Wolff Eikrem
Juan Manuel Insaurralde
Sergio Agero
Hernn Losada
Stuart Nelson
Aleksander Ptak
ukasz Sapela
Jacek Popek
ukasz Gargua
Alejandro Faurln
Mauro Zrate
Lee Sang Ho
Ma Chul Joon
Dariusz atka
Pawe Sobolewski
Nicolas Flegeau
Andr-Pierre Gignac
Virgile Reset
Hilton
Florent Ghisolfi
Jonathan Thou
Jean-Louis Leca
Matt Pickens
Adrian Cann
William Hesmer
Khari Stephenson
Yoann Gourcuff
Arnold Mvuemba
Cleyton
Nikos Spyropoulos
Del Olmo
Micha ewakow
Piti
ngel Rangel
Benjamin Huggel
Sergio Daz
Koikili
Bernardo
Jorge Molina
Nicola Ferrari
Francesco Marianini
Ciro Capuano
Manuel Pasqual
Gheorghe Bucur
Dacian Varga
Yuriy Zhirkov
Rob Jones
Craig Mackail-Smith
Nicky Bailey
Ludovic Giuly
Luca Ariatti
Vadim Demidov
Rob Friend
Vladimir Ivic
Krzysztof Kotorowski
Nikola Mijailovi
Andy Griffin
Matthew Taylor
Kim Eun Jung
Kim Chul Ho
Shim Young Sung
Kim Tae Su
Kang Min Soo
Hwang Jae Won
Shin Hwa Yong
Han Tae You
Lee Jung Yul
Choi Jae Soo
Lee Chung-Yong
Hwang Sun Pil
Bae Hyo Sung
Lim You Hwan
Lance Davids
Marcel Schfer
Emil Jula
Rzvan Coci
Dawid Plizga
Danny Olsen
Richard Stearman
Sammy Clingan
Carl Ikeme
Leon Clarke
Keith Lowe
Leon Jessen
Gunnar Nielsen
Jonas Borring
Peter Nymann
William
Kim Jin Ryong
Lee Ho
Song Han Bok
Lee Jin Ho
Lee Yo Han
Bang Seung Hwan
Jeon Jae Ho
Kim Chi Woo
Kim Dae Hwan
Pawe Nowak
Piotr Celeban
Micha abdzki
ukasz Traka
Przemysaw Kamierczak
Aloys Bertrand Nong
Steven De Petter
Darren Ambrose
Tony Caig
Henrik Toft
Llorente
Christian Gratzei
Mitja Mrec
Ronald Gercaliu
Johannes Ertl
Luis Amaranto Perea
Leonardo Gonzlez
Michael Umaa
lvaro Saboro
Kenny Van Hoevelen
Mark Volders
Lolo
Kepa
Sergio Ramos
Pablo Ruiz
Bartosz Biakowski
Craig Samson
Chris Smith
Stephen McManus
Aiden McGeady
Stephen Henderson
Michael Bradley
Jeff Parke
Clint Dempsey
Andy Dorman
John O'Flynn
Mrton Flp
Anthony Pulis
Shaun Cooper
Lewis Buxton
Orlandi
Casto
Robert Snodgrass
Zubikarai
Scott McDonald
Darryl Duffy
Charlie Adam
Gary MacKenzie
Ross McCormack
Markel Bergara
Juan Dominguez
Claude Gnakpa
Ville Jalasto
Federico Vilar
Horacio Cervantes
Fernando Arce
Aarn Padilla
Luis Gabriel Rey
Mrcio Arajo
Roman Eremenko
Rodrigo
Michael Poke
Martin Cranie
Matthew Mills
Dexter Blackstock
Leon Best
Jerome Thomas
Rob Burch
Cristian Spunaru
Carlitos
Kasper Bgelund
Joe Lewis
Karim Haggui
Seyi Olajengbesi
Jakub Rzeniczak
Marcelo
Ederson
Rachid Bouaouzan
Radhi Jaidi
Karim Sadi
Shaun Barker
Will Hoskins
Daniel McBreen
Adam El-Abd
Jake Robinson
Adebayo Akinfenwa
Danny Jackman
Adrin Garca Arias
Felipe Ayala
Moiss Muoz
Mauricio Molina
Mariano Trujillo
Carlos Adrin Morales
Damin lvarez
Rafael Mrquez Lugo
Ricardo Cabanas
Brett Ormerod
Jos de Jess Corona
Omar Flores
Juan Carlos Valenzuela
Manuel Prez
Juan Carlos Medina
Guillaume Hoarau
Alfredo Talavera
Francisco Rodrguez
Thomas Gebauer
Christoph Janker
Richard Wood
Chris Birchall
Scott Vernon
Anthony Vanden Borre
Yuki Abe
Elgabry Rangel
Rodrigo Ruz
Vicente Matas Vuoso
Mario Prez
Daniel Hernndez
Thomas Buffel
Jonathan Legear
Maarten Martens
Oleg Iachtchouk
Grgory Lorenzi
Alexandre Barbier
Romaric
Piotr wielong
Franck Ribry
Barel Mouko
Charles Diers
Franck Dja Djdj
Yohan Eudeline
Yoan Gouffran
Edson Braafheid
David Norris
Andrew Considine
Ryan O'Leary
Lasse Nilsson
Andreas Granqvist
Rudi Skacel
Mathieu Flamini
Julien Faubert
Juan Arango
Guillermo Rojas
Daniel Alcntar
Lukas Sinkiewicz
Kang Yong
Darren Pratley
Stephen Rice
Ccero
Olivier Werner
Chuva
Cear
Rbson
Christophe Berra
Gennaro Sardo
Antonio Nocerino
Dennis Cagara
Del Pino
Miguel Calero
Joel Huiqui
Fausto Pinto
Sergio Santana
Pascal Bosschaart
Alje Schut
Rob van Dijk
Lucas Ayala
Patrick Zwaanswijk
Richy
Maicon
Rodrigo Tiu
Paul Crowley
John Russell
Neri Cardozo
Sean Dillon
Dirk Kuyt
Stephen Elliott
Arizmendi
Toch
Fabiano
Christian Valdez
Jrmy Blayac
Ryan Babel
Tom De Mul
Thomas Vermaelen
Rasmus Lindgren
Sylvain Marveaux
Junior Agogo
Ashley Vincent
Rutger Worm
Benoit Assou-Ekotto
Mohamed Sissoko
Anthony Murphy
Joseph Ndo
Brendan Clarke
Christian Gimnez
Ashkan Dejagah
Sejad Salihovi
Christian Mller
Andrija Delibai
Daniel de Ridder
Amaya
Adam Barrett
Pedro Lpez
Ral Albiol
Jamie Mackie
Josh Low
Jorge Valdivia
Kamil Kosowski
Giuseppe Rossini
Alexandre Song
Shelton Martis
Efran Velarde
Marco Antonio Palacios
Gonzalo Pineda
Moritz Stoppelkamp
Thomas Prager
Andrea De Falco
Djamel Mesbah
Julien Ielsch
Enoch Showunmi
Christoph Saurer
Niko Kranjar
Paul Thomik
Markus Steinhfer
Andreas Ottl
Matt Fryatt
Julian Bennett
Scott Dann
Laurent Ciman
Ballesteros
Jos Mari
Uwe Hnemeier
Besart Berisha
Mustafa Kucukovic
Marco Russ
Mohammed Tchit
Anssi Jaakkola
Simone Bentivoglio
Gaetano Caridi
Elvis Abbruscato
Maurizio Peccarisi
Angelo Rea
Giuseppe De Feudis
Marco Bernacci
Nico Pulzetti
Edmond Kapllani
Klemen Lavri
Naby-Moussa Yattara
David Mooney
Alex Silva
Z Castro
Kalifa Ciss
Tommy Smith
Wim Mennes
Michael Ball
Lionel Messi
Michal Cordier
Tulio de Melo
Cleveland Taylor
Alan Tate
Pablo lvarez
Pablo Ledesma
Yohann Rivire
Benot Costil
Daniele Mannini
Florian Mohr
Daniel Brckner
Jefferson Farfn
Aaron Hunt
Zola Matumona
Salva Sevilla
Landry Mulemo
Mario Sonnleitner
Michael Parensen
Manfred Razenbck
Andreas Rauscher
Ricardo Villar
Patrick Wolf
Marc-Antoine Fortun
Juanra
Mariano Bogliacino
Elsad Zverotic
Alan Julian
Salomon Kalou
Gibril Sankoh
Xavier Chen
Richard Socrier
Julien Gorius
Claudio Lustenberger
Steve Gohouri
Damir Vrancic
Mark Gonzlez
Ibrahim Afellay
Nana Akwasi Asare
Jan Wuytens
Marcin Smoliski
Ken Reichel
Andr-Jol Sami
Sbastien Meoli
Nicolas Marazzi
Gelson Fernandes
Didier Crettenand
Mio Breko
Lorenzo Squizzi
Antonio Giosa
Scott Barron
Johnny Leoni
Joo Carlos
Adalton
Rowan Vine
Kenwyne Jones
Ibrahim Sekagya
Oribe Peralta
Ezequiel Miralles
Alejandro Castro
Andy Williams
Matthieu Chalm
Dante
Mathieu Debuchy
Nicolas Fauvergue
Nicolas Raynier
Thomas Kessler
Enis Alushi
Thomas Brker
Knut Olav Rindary
William Kvist
Morten Bertolt
Paul Obiefule
Rodrigo Defendi
David Edwards
Roberto Colombo
Rey Volpato
Florent Perraud
Manuel Weber
David Gonzlez
Philipp Tschauner
Florian Stahel
Niels Fleuren
Willem Janssen
Iain Turner
Leon Osman
Juanlu Hens
Gkhan Inler
Fernando Espinosa
Cirilo Saucedo
Juan Carlos Leao
Guadalupe Martnez
Jean Beausejour
Tobias Weis
Christian Gentner
Anthony Gerrard
Thomas Reinmann
Daniel Fox
Pirmin Schwegler
Marco Schneuwly
Stefano Botta
Petter Andersson
Ren Gartler
Lucas Biglia
Hugo Colace
Federico Nieto
Marco Padalino
Peter Larsson
Csar Santin
Matas Silvestre
Mikael Yourassowsky
Steven Taylor
Davide Zoboli
Gianni Munari
Jonathan Pitroipa
Romuald Peiser
Ezequiel Lavezzi
Dean Shiels
Bob Harris
Craig Bryson
Slvi Ottesen
Baftimbi Gomis
Loc Perrin
Rafael Marques
Jurado
Trashorras
Alaixys Romao
Gerardo Rodrguez
Enrico Guarna
Jason ulina
Michael Krohn-Dehli
Marco Cellini
Fabio Quagliarella
Christian Puggioni
Manuel Coppola
Agostino Garofalo
Leandro Guerreiro
Raffaele Palladino
Riccardo Montolivo
Brian Nielsen
Andy Wilkinson
Alexander Pllhuber
Mario Reiter
Armando Navarrete
Adnan Custovi
Garry Richards
Erwin Hoffer
Bernhard Schachner
Patrick Amoah
Loukas Vyntra
Andrea Giallombardo
Yohan Dmont
Paulo Srgio
Ian Black
Arouca
Pedro Silva
Pablo Mastroeni
Paul Robinson
Ian Goodison
Marco Zambelli
Diego Prez
Roberto
Abraham
Damien Delaney
Clayton Donaldson
Dami
Javito
Scott Wiseman
Sander Boschker
Simon Cziommer
Luis Garca
Peter Van der Heyden
Ben Watson
Tom Soares
Sam Togwell
Eugene Galekovi
Jess Gmez
Stephen Hunt
Alex Terra
Andr Lima
Sergey Kornilenko
Igor Lolo
Miodrag Dudovi
Seweryn Gancarczyk
David Abraham
Jrmy Mnez
Laurence Wilson
lafur Sklason
Borges
Fred
Nick Rimando
Martin Stranzl
Bruno Silva
Sergey Narubin
Tyrone Marshall
Evgeniy Savin
Chidi Odiah
Pablo Guiaz
Tarmo Kink
Alexandr Orekhov
Shamil Asildarov
Michael Symes
Marvin Matip
Joan Hartock
Hatem Ben Arfa
Darren Barr
Alfredo Gonzlez Tahuiln
Carlos Bueno
Mauricio Romero
Luis Enrique Robles
Vctor Montao
Alejandro Vela
Andrea Russotto
Diego de la Torre
Franois Clerc
Jos Arturo Rivas
Edgar Dueas
Javi Garca
Noel Hunt
Conrad Logan
Milos Maric
Davide Chiumiento
Agirretxe
Xabi Castillo
scar Rojas
Valon Behrami
Vctor
Luciano Becchio
Justin Hoyte
Niklas Hoheneder
Florian Klein
Robust
Chica
Joan Toms
Edgar lvarez
Elliott Ward
Borja Valero
Nicola Pozzi
Markus Berger
Andreas Schicker
Emin Sulimani
Daniele Vantaggiato
Abdoulay Konko
Stiven Rivi
Rafik Djebbour
Iain Fyfe
Andreas Dahln
Christian Martnez
Sergio Prez
Zapater
Luke Chambers
Mark Bunn
Steve Morison
Bruno Herrero
Barry Fuller
Amorebieta
Garmendia
Fernando Llorente
Steven Schumacher
Tiberio Guarente
Juvenal
Valerio Foglio
Davide Biondini
David Bell
Ghislain Gimbert
Mariano
Oluwafemi Ajilore
Sinan Bolat
Faris Haroun
Kenneth Van Goethem
Alexander Baumjohann
Stijn De Smet
Lewis Guy
Moussa Dembl
Marcin Kikut
Marek Gancarczyk
Daniele Padelli
Andrea Guatelli
Luke Moore
Peter Whittingham
Liam Ridgewell
Remko Pasveer
Karim El Ahmadi
Julian Jenner
Nick van der Velden
Frank van Mosselveld
Frank van der Struijk
Joo Moutinho
Jeroen Drost
Vedad Ibievi
Andr Ooijer
Anthony Straker
Lenny Pidgeley
Michael Jakobsen
Otman Bakkal
Giuseppe Rossi
Emanuel Villa
Magnus Okuonghae
Ilan
Simon Walton
Pedj Boji
Andy Keogh
Ross Turnbull
Leroy Lita
Steven Bell
Thierry Henry
Scott Cuthbert
Tim Howard
Matt Reis
Yves Lenaerts
Steve Colpaert
Adam Griffiths
Branko Ili
Andrej Komac
Samir Handanovi
Zahari Sirakov
Travis Dodd
Russell Martin
Lasse Heinze
Jonathan Spector
David Jones
Chris Eagles
Johan Djourou
Sebastian Svrd
Cesc Fbregas
Quincy Owusu-Abeyie
Andrew Barrowman
Mat Sadler
Neil Kilkenny
Colin Doyle
Ronnie Henry
Milan Jovanovi
Paul Gallagher
David Yelldell
Farins
Pablo Barrientos
Emiliano Armenteros
Marcos Angeleri
Donovan Ricketts
Andrew Davies
Andrew Taylor
James Morrison
Matthew Bates
James Perch
Hilrio
Miguel Fidalgo
Paulo Santos
Evaldo
Souza
Danielson
Saulo
Chris Morgan
Jonathan Forte
Billy Sharp
Kevan Hurst
Roversio
Rolando
Michael Thwaite
Wayne Srhoj
Michael Trnes
Alan McCormack
Kelvin Langmead
Marcus Williams
Ben Foster
Richard Keogh
John Halls
Carl Dickinson
Fernando Morales
Frank Simek
Arturo Lupoli
Rachid Farssi
Guillaume Gillet
Roland Lamah
Darren O'Dea
Steven Naismith
Greg Fleming
Kevin Moon
Maxime Annys
Liam Fontaine
Phil Bardsley
Bojan Djordjic
Kenny Cooper
Tom Heaton
Arran Lee-Barrett
Byron Anthony
Alessandro Noselli
Milo Krasi
Jonathan Orozco
Hctor Miguel Morales
Glenn Whelan
Joel Porter
Matty Robson
Isaac Osbourne
Danny Graham
Simon Cox
Ryan Clarke
Lee Bell
Luke Varney
Michael Higdon
Mark Roberts
Gary Roberts
Nathan Doyle
Sbastien Pocognoli
Jordan Remacle
Wim Raymaekers
Michael Kleppe Jamtfall
James Vaughan
Andrea Coda
Davide Moro
Andrea Raggi
Djamel Abdoun
Youns Kaboul
Bacary Sagna
Abou Diaby
Franck Berrier
Craig Rocastle
Lee Frecklington
Daniele Galloppa
Shaun Harrad
Emmet Friars
Kelvin Wilson
Shane McFaul
Benot Angbwa
Peter Franquart
Andrea Consigli
Michele Canini
Andrea Lazzari
Nicolas Lombaerts
Tim Matthys
Jugoslav Lazic
Jonny Magalln
Jrmy Clment
Momar N'Diaye
Andrew Crofts
Matthew Jarvis
Curtis Weston
Marvin Elliott
Tony Craig
Tim Clancy
Paul Robinson
Mark Quigley
Kasper Schmeichel
Aurlien Capoue
John Ruddy
Dominic Blizzard
Ben Herd
Jake Cole
Jamie Young
Jonathan Hayes
Grant Leadbitter
Chris Brown
Leighton Baines
Francesco Cosenza
Anthony Scaramozzino
Adriano Ferreira Pinto
Gatan Krebs
Daniel Congr
Behrang Safari
Abla Bald
Bakaye Traor
Omar Arellano
Stphane Sessgnon
Alex Pinardi
Steve Mandanda
Lassana Diarra
Peter Gilbert
Steven Gillespie
Ryan Harley
Joe Anyinsah
Derek Niven
David Mulligan
David Mirfin
John McCombe
Curtis Davies
Leon Barnett
Michael Rose
Simeon Jackson
Marc Tierney
Geoffrey Jourdren
Fatih Atik
Julien Fret
Sergio
Robert Almer
Ashley Williams
Tomasz Brzyski
Steven Jennings
Chris Dagnall
Carl Tremarco
Craig Morgan
Silva
Eduardo
Cobeo
Tbar
Andrea Cristiano
Roberto Previtali
Achille Coser
Gianni Zuiverloon
Michele Troiano
Alessandro Diamanti
Fabio Caserta
Jorge Alonso
Steven Anderson
Maurizio Lauro
Barreto
Iacopo La Rocca
Alessio Sestu
Jacob Mulenga
Alexis Thbaux
Therry Racon
Leyti N'Diaye
Jamie Coyne
Giampiero Pinzi
Lee Croft
Willo Flood
Oriol
Charles
Dudu Cearense
Fernando Prass
Adriano
Lauro
Aranha
Gustavo
Douglas
dson Bastos
Filipe
Paulo Baier
Josu
Paulo Andr
Caio
Thiago Silva
Wellington Paulista
Andr Santos
Andr Dias
Renato Silva
Willian
Mario Lika
Michal Papadopulos
Francesco Pisano
Andrea Esposito
Graziano Pell
Mirko Pieri
James O'Connor
Mbark Boussoufa
Sebastian Larsson
Nedum Onuoha
Bradley Wright-Phillips
Tony McMahon
Jamie Ward
Gary Cahill
Gabriel Agbonlahor
Xisco
John Obi Mikel
Chinedu Obasi
Dennis Aogo
Marcell Jansen
Marc-Andr Kruska
Jemal Johnson
Brad Guzan
Dan Kennedy
Francisco Mendoza
Clyde Simms
Drew Moor
Alan Gordon
Ugo Ihemelu
Kevin Goldthwaite
Danny O'Rourke
Chris Wondolowski
Chad Barrett
Will Johnson
Gonzalo Segares
Marcel de Jong
Hunter Freeman
Dan Gargan
Jay Nolly
Scott Sealy
Jeff Larentowicz
Tony Lochhead
James Riley
Jason Hernandez
Tim Ward
Thomas Kristensen
David Raven
Tim Hoogland
Heath Pearce
Stephen Dawson
Zsolt Laczk
Scott Robertson
Craig Sives
Calum Elliot
Lee Wallace
Chris Hogg
Steven Fletcher
Ivan Sproule
Brian McLean
Steven Smith
Stuart Holden
Michael Townsend
ukasz Fabiaski
Michael Parkhurst
Paulo Machado
Ivanildo
Bruno Gama
Adam Federici
Johnny Mullins
Joel Lynch
John Spicer
Edinho
Tim Sparv
Theo Walcott
Michu
Lior Refaelov
Targino
Rafa Jord
Valera
Taye Taiwo
Paulo Nagamura
Stphane M'Bia
Somen Tchoyi
Grgory Arnolin
Mamadou Diallo
Charles N'Zogbia
Peter Ramage
Alan O'Brien
Cyril Thrau
Jakub Baszczykowski
Sawomir Szeliga
Marek Wasiluk
Mariusz Sacha
Carlos Acua
Sekou Ciss
Stefan Radu
Karim Benzema
Guy Moussi
Bobby Boswell
Eugen Polanski
Sebastian Freis
Banel Nicolita
Dorin Goian
Craig Davies
Joe Ledley
Cameron Jerome
Hamdi Kasraoui
Jack Hobbs
Owen Garvan
Laurent Koscielny
Richard Soumah
Olivier Veigneau
David Gigliotti
Nicolas Maurice-Belay
Thiago Ribeiro
Florian Marange
Samir Nasri
Fabien Bachir Camus
Emanuele Pesoli
Itumeleng Khune
Abdoulrazak Boukari
Hermes
Maciej Rogalski
Rachid Bourabia
Michael Timlin
Stephen Ward
Frazer Wright
Bocundji Ca
Claudiu Keser
Didier Digard
Matthias Lepiller
Angelo
Jason Taylor
Gary Dicker
Brian Gannon
Darren Quigley
Conor Kenna
Alan McNally
Etienne Esajas
Ivn Carril
Vivian
Mariano Izco
Franco Niell
Nicols Pareja
Josh Lillis
Billy Clarke
Fernando Gago
Gabriel Paletta
Marcos Mondaini
Alecsandro
Marco Ruben
Danny North
Diego Alves
Robert Szczot
Krzysztof Woczek
Dariusz Sztylka
ukasz Janoszka
Maciej Szmatiuk
Ibou
Rafa Murawski
Brad Jones
David Wheater
Jason Kennedy
Adam Johnson
Caio
Cssio
Daro Bottinelli
Leonardo Ulloa
Jlio Csar
lton
Juan
Danilinho
Kim Jae Sung
Park Jin Ok
Lee Dong Won
Oh Jang Eun
Choi Sung Hwan
Lee Hyung Sang
Kwak Tae Hwi
Chu Young Park
Baek Ji Hoon
Yang Dong Hyen
Choi Hyo Jin
Oh Beom Seok
Hwang Jin Sung
Jung Yoo Seok
Derek Pender
Jnos Kovcs
Tinashe Nengomasha
Gerald Sibeko
Kaizer Motaung Jr
Jaime Peters
Durval
Jorge Henrique
Braulio
David Buchanan
Chris Neal
Jnos Balogh
Ivn Crdoba
Rbert Waltner
Tim Brown
Scott Palguta
Zach Scott
Joey Gjertsen
Terry Boss
Molinero
Makhach Gadzhiev
Gerard O'Callaghan
Martin krtel
Alan Kasaev
Barry Murphy
Lasha Salukvadze
Alexandr Bukharov
Chris Turner
Trevor Carson
David Sencar
Marc Pugh
Nicky Adams
Kyle Lafferty
Chris McCann
Neil Danns
Mark Cousins
Kri rnason
Darius Charles
Karleigh Osborne
Jake Wright
Marc Wilson
Axel Bellinghausen
Viktor Fayzulin
Dmitriy Belorukov
Sergey Kuznetsov
Ismael Fuentes
Patrick Helmes
Mario Rodrguez
Juan Manuel Vargas
Jan imnek
Michal Kadlec
Mauro Cejas
Bouna Coundoul
Carlos Mendes
Marquinhos Parana
Falcao
Jan Polk
Chico
Cristian Llama
Gonzalo Castro
Oscar Ustari
Oliver Fink
Manuel Neuer
Denni Avdic
Ludovic Buysens
Carl Regan
Simon Vukevi
Duan Basta
Nikola igi
Miroslav Radovi
Efran Jurez
Patricio Araujo
Omar Esparza
Jorge Torres Nilo
Christian Snchez
Jorge Hernndez
Adrin Aldrete
Diego Jimnez
Emilio Lpez
Roman Shishkin
Ivan Taranov
Mark Bradley
Roman Kontsedalov
Anton Shunin
Rasmus Elm
Yuriy Zhevnov
Alexandr Ryazantsev
Roman Shirokov
Lucky Lekgwathi
Jimmy Tau
Stphane Ruffier
Lucas Thwala
Marko Muslin
Magnus Troest
Jeroen Simaeys
Gonzalo Higuan
Nicols Domingo
Juan Pablo Carrizo
Diego Cervantes
Maicosuel
Sean Clohessy
Kerrea Gilbert
Matthew Connolly
Patrick Cregg
Stephen O'Donnell
Fabrice Muamba
Sean Kelly
Anthony Stokes
Nicklas Bendtner
Sammy Ochoa
Nsue
Scott Loach
Jamie Hamill
Cameron Bell
Rory Loy
Chris Maguire
Garry Kenneth
David Robertson
Chavdar Yankov
Antonio Valencia
Matt Done
Joey O'Brien
Anthony Grant
Mark Hughes
Rob Elliot
Yannick Cahuzac
Jrmy Sorbon
Stephane Besle
Yohan Cabaye
Guillaume Rippert
Hugo Lloris
Habib Bellad
Cssio
Anderson
Rudy Mater
Mody Traor
Jean-Daniel Padovani
Damien Perrinelle
Sebastien Le Toux
Morgan Amalfitano
Jrmy Sapina
Gianluca Curci
Ignazio Abate
Francesco Ruopolo
Henok Goitom
Asamoah Gyan
Salvatore Bocchetti
Roberto Maurantonio
Tiago
Leandro Rinaudo
Emiliano Viviano
Aldo Simoncini
Francesco Stanco
Davide Somma
Carmona
Leonardo Miglionico
Raffaele Schiavi
Ronaldo Angelim
Salvatore Sirigu
Ari
Ivica Banovi
David Silva
Elkin Soto
Edixon Perea
Hugo Rodallega
Aldo Leao
Alberto Junior Rodrguez
Hedwiges Maduro
Ron Vlaar
Simon Colosimo
Markus Karl
Santiago Acasiete
Itey Shechter
Fred Benson
Rafinha
Miranda
Mouhamadou Dabo
Danny Grainger
David Graham
Zdravko Kuzmanovi
Ivan Rakiti
Siaka Tin
Boukary Dram
Javad Nekounam
Goran Karanovic
Omar Ramos
Asen Karaslavov
Sebastian Miranda
Sami Allagui
Rmy Riou
Daniel Van Buyten
Luke Foster
Sergio Arias
Kristoffer Andersen
Tomislav Mikulic
Freddy Guarn
Maor Bar Buzaglo
Issam Jem
Elliot Grandin
Jean-Jacques Mandrichi
David Gonzalez
Krunoslav Lovrek
Martin Ehrenreich
Grgory Beranger
David Obua
Mario Fillinger
Sylvan Ebanks-Blake
Roy Contout
Lee Martin
Andrea Masiello
Ronny
Elimane Coulibaly
Jean-Louis Akpa Akpro
Dave Hibbert
Gnther Vanaudenaerde
Kenneth Vermeer
Paul Dixon
Stephen Bradley
Gavin Peers
Renato Augusto
Israel Martnez
ngel Reyna
Scott Sinclair
Shane Long
Oleksandr Iakovenko
Tobias Fink
Serge Gakp
Tarik Elyounoussi
Andreas Ulmer
Nejc Penik
Marc Sand
Michael Madl
Markus Suttner
Tom imkovi
Rubin Rafael Okotie
Edin Salki
Adrian Ricchiuti
Sergio Floccari
Emmanuel Cascione
Francesco Valiani
Alan Sheehan
Kenny Gillet
Timo Staffeldt
Christian Eichner
Jasmin Fejzi
Andre Mijatovi
Torsten Oehrl
Stephan Schrck
Daniel Adlung
Juri Judt
Carlos Vela
Tim Vincken
Barragn
Mehdi Lacen
Ilijan Micanski
David Barron
Michael McGlinchey
Muslu Nalbantoglu
Alex Bruce
Michael O'Connor
Armand Traor
Matt Derbyshire
Andy Taylor
Rostyn Griffiths
Eddie Nolan
Joel Byrom
Frank Fielding
Joe Garner
Jarosaw Fojut
Israel Villaseor
Victor Anichebe
Patrick Boyle
Jeppe Curth
Martin Bernburg
Mark Hughes
Nico Zimmermann
Adam Hammill
Danny Guthrie
Lee Peltier
Gary Coulibaly
Fraizer Campbell
Jonny Evans
Darron Gibson
David Gray
Kieran Lee
Danny Rose
Ryan Shawcross
Ritchie Jones
Danny Simpson
Adam Eckersley
Lee Cattermole
Jonathan Grounds
Gary Liddle
Peter Hartley
William Dennehy
Tommy Forecast
Charlie Daniels
Charlie Lee
Jamie O'Hara
Stuart Lewis
Andrew Barcham
Simon Dawkins
Aquivaldo Mosquera
Sebastin Eguren
Darren Randolph
Myles Weston
Lawrie Wilson
Ryan Bertrand
Jack Cork
Harry Worley
Liam Bridcutt
Shaun Cummings
Micah Richards
Philipp Grblinger
